name,confirmed,recovered,death,added_date
湖北,51986,3862,1318,20200214
广东,1261,332,2,20200214
河南,1184,316,11,20200214
浙江,1155,367,-,20200214
湖南,988,363,2,20200214
安徽,934,166,6,20200214
江西,900,187,1,20200214
江苏,593,143,-,20200214
重庆,529,139,4,20200214
山东,523,111,2,20200214
四川,463,105,1,20200214
黑龙江,418,46,11,20200214
北京,372,79,3,20200214
上海,318,90,1,20200214
河北,283,74,3,20200214
福建,281,59,0,20200214
陕西,230,53,-,20200214
广西,226,35,2,20200214
云南,162,27,-,20200214
海南,158,30,4,20200214
贵州,140,28,1,20200214
山西,126,36,-,20200214
天津,120,21,3,20200214
辽宁,117,24,1,20200214
甘肃,91,39,2,20200214
吉林,86,25,1,20200214
宁夏,67,24,-,20200214
新疆,65,6,1,20200214
内蒙古,65,6,-,20200214
香港,53,1,1,20200214
青海,18,11,0,20200214
台湾,18,1,-,20200214
澳门,10,3,-,20200214
西藏,1,1,-,20200214
湖北,54406,4774,1457,20200215
广东,1261,369,2,20200215
河南,1212,356,13,20200215
浙江,1162,409,-,20200215
湖南,1001,389,2,20200215
安徽,934,196,6,20200215
江西,913,210,1,20200215
江苏,604,160,-,20200215
重庆,537,152,5,20200215
山东,530,139,2,20200215
四川,470,115,1,20200215
黑龙江,425,48,11,20200215
北京,372,79,3,20200215
上海,326,90,1,20200215
河北,291,86,3,20200215
福建,285,66,0,20200215
广西,235,40,2,20200215
陕西,230,53,-,20200215
海南,162,38,4,20200215
云南,162,35,-,20200215
贵州,143,33,1,20200215
山西,127,38,-,20200215
天津,120,32,3,20200215
辽宁,119,29,1,20200215
甘肃,90,44,2,20200215
吉林,88,25,1,20200215
新疆,70,6,1,20200215
宁夏,70,27,-,20200215
内蒙古,65,6,-,20200215
香港,56,1,1,20200215
青海,18,11,0,20200215
台湾,18,1,-,20200215
澳门,10,3,-,20200215
西藏,1,1,-,20200215
