epoch,acc,loss,val_acc,val_loss
0,0.804375,3.13031779647,0.8366,2.6229500145
1,0.807796875,3.07536887383,0.8338,2.66366266766
2,0.808296875,3.06623198533,0.8372,2.61321268997
3,0.815671875,2.95415738916,0.8426,2.52553464661
4,0.818046875,2.91663943386,0.8423,2.52648344803
5,0.815109375,2.96041189599,0.8387,2.59191629562
6,0.818296875,2.90801111007,0.845,2.48385997391
7,0.82053125,2.87358693933,0.8462,2.46905090637
8,0.8225625,2.84350566387,0.8452,2.48287903748
9,0.822140625,2.85089668965,0.8453,2.47940127335
10,0.8253125,2.79780324721,0.8495,2.41839181595
11,0.82646875,2.78291907406,0.8513,2.38652872391
12,0.826859375,2.77605427885,0.8534,2.3478358696
13,0.826296875,2.7827613759,0.8484,2.43627176666
14,0.827296875,2.76846848106,0.8472,2.45539579086
15,0.830875,2.70916237307,0.85,2.41026460037
16,0.83025,2.72188659787,0.8536,2.34939551086
17,0.831375,2.70426676846,0.8555,2.31622075958
18,0.834765625,2.64815124893,0.8556,2.31905127563
19,0.8309375,2.71362389207,0.8526,2.36911767044
20,0.836828125,2.61138178706,0.8548,2.33404120865
21,0.834140625,2.65994540644,0.8533,2.35675952835
22,0.8381875,2.59787224627,0.8575,2.28840432663
23,0.838375,2.59543281674,0.8576,2.29081894913
24,0.839,2.58298812962,0.8579,2.28271067581
25,0.839234375,2.57868579125,0.8582,2.28151101456
26,0.839390625,2.578681005,0.8568,2.30125098495
